
//=====Unity Components=====

// Physics Components
Rigidbody,UnityEngine.Rigidbody
Collider,UnityEngine.Collider
Box Collider,UnityEngine.BoxCollider
Sphere Collider,UnityEngine.SphereCollider
Capsule Collider,UnityEngine.CapsuleCollider
Mesh Collider,UnityEngine.MeshCollider
Cloth,UnityEngine.Cloth

// Animation and Constraints Components
Animator,UnityEngine.Animator
Aim Constraint,UnityEngine.Animations.AimConstraint
Look At Constraint,UnityEngine.Animations.LookAtConstraint
Parent Constraint,UnityEngine.Animations.ParentConstraint
Position Constraint,UnityEngine.Animations.PositionConstraint
Rotation Constraint,UnityEngine.Animations.RotationConstraint
Scale Constraint,UnityEngine.Animations.ScaleConstraint
Animation,UnityEngine.Animation

// Particle Systems and Rendering
Particle System,UnityEngine.ParticleSystem
Particle System Renderer,UnityEngine.ParticleSystemRenderer
Trail Renderer,UnityEngine.TrailRenderer
Line Renderer,UnityEngine.LineRenderer

// Mesh and Rendering Components
Mesh Filter,UnityEngine.MeshFilter
Mesh Renderer,UnityEngine.MeshRenderer
Skinned Mesh Renderer,UnityEngine.SkinnedMeshRenderer

// Lighting and Visual Effects
Light,UnityEngine.Light
Flare Layer,UnityEngine.FlareLayer

// Audio Components
Audio Source,UnityEngine.AudioSource

// Camera and Related Components
Camera,UnityEngine.Camera

// General and Transform Components
Transform,UnityEngine.Transform



//=====VRC Components=====

VRC Avatar Descriptor,VRC.SDK3.Avatars.Components.VRCAvatarDescriptor
VRC Aim Constraint,VRC.SDK3.Dynamics.Constraint.Components.VRCAimConstraint
VRC Look At Constraint,VRC.SDK3.Dynamics.Constraint.Components.VRCLookAtConstraint
VRC Scale Constraint,VRC.SDK3.Dynamics.Constraint.Components.VRCScaleConstraint
VRC Parent Constraint,VRC.SDK3.Dynamics.Constraint.Components.VRCParentConstraint
VRC Position Constraint,VRC.SDK3.Dynamics.Constraint.Components.VRCPositionConstraint
VRC Rotation Constraint,VRC.SDK3.Dynamics.Constraint.Components.VRCRotationConstraint
VRC Contact Receiver,VRC.SDK3.Dynamics.Contact.Components.VRCContactReceiver
VRC Contact Sender,VRC.SDK3.Dynamics.Contact.Components.VRCContactSender
VRC Head Chop,VRC.SDK3.Avatars.Components.VRCHeadChop
VRC PhysBone,VRC.SDK3.Dynamics.PhysBone.Components.VRCPhysBone
VRC PhysBone Collider,VRC.SDK3.Dynamics.PhysBone.Components.VRCPhysBoneCollider
VRC Pipeline Manager,VRC.Core.PipelineManager
VRC Spatial Audio Source,VRC.SDK3.Avatars.Components.VRCSpatialAudioSource
VRC Station,VRC.SDK3.Avatars.Components.VRCStation






//=====Fury Components=====




